corpID,corpName,minID,locID
corpBan1,Barishal City Corporation,fminBan,cntBan
corpBan2,Chittagong City Corporation,fminBan,cntBan
corpBan3,Comilla City Corporation,fminBan,cntBan
corpBan4,Dhaka North City Corporation,fminBan,cntBan
corpBan5,Dhaka South City Corporation,fminBan,cntBan
corpBan6,Gazipur City Corporation,fminBan,cntBan
corpBan7,Narayanganj City Corporation,fminBan,cntBan
corpBan8,Khulna City Corporation,fminBan,cntBan
corpBan9,Mymensingh City Corporation,fminBan,cntBan
corpBan10,Rajshahi City Corporation,fminBan,cntBan
corpBan11,Rangpur City Corporation,fminBan,cntBan
corpBan12,Sylhet City Corporation,fminBan,cntBan
corpUK1,,fminUK,cntUK
corpUK2,,fminUK,cntUK
corpUK3,,fminUK,cntUK
corpUK4,,fminUK,cntUK
corpUK5,,fminUK,cntUK
corpUK6,,fminUK,cntUK
corpUK7,,fminUK,cntUK
corpUK8,,fminUK,cntUK
corpUK9,,fminUK,cntUK
corpUK10,,fminUK,cntUK
corpUK11,,fminUK,cntUK
corpUK12,,fminUK,cntUK
corpUK13,,fminUK,cntUK
corpUK14,,fminUK,cntUK
corpUK15,,fminUK,cntUK
corUkr1,,fminUkr,cntUkr
corUkr2,,fminUkr,cntUkr
corUkr3,,fminUkr,cntUkr
corUkr4,,fminUkr,cntUkr
corUkr5,,fminUkr,cntUkr
corUkr6,,fminUkr,cntUkr
corUkr7,,fminUkr,cntUkr
corUkr8,,fminUkr,cntUkr
corUkr9,,fminUkr,cntUkr
corUkr10,,fminUkr,cntUkr
corUkr11,,fminUkr,cntUkr
corUkr12,,fminUkr,cntUkr
corpUSA1,,fminUSA,cntUSA
corpUSA2,,fminUSA,cntUSA
corpUSA3,,fminUSA,cntUSA
corpUSA4,,fminUSA,cntUSA
corpUSA5,,fminUSA,cntUSA
corpUSA6,,fminUSA,cntUSA
corpUSA7,,fminUSA,cntUSA
corpUSA8,,fminUSA,cntUSA
corpUSA9,,fminUSA,cntUSA
corpUSA10,,fminUSA,cntUSA
corpUSA11,,fminUSA,cntUSA
corpUSA12,,fminUSA,cntUSA
corpUSA13,,fminUSA,cntUSA
corpUSA14,,fminUSA,cntUSA
corpUSA15,,fminUSA,cntUSA
