orgID,minID,comment
org2,fminUkr,
org2,fminUSA,
org3,fminUSA,
org2,fminUkr,
org1,fminUK,
org2,fminUkr,
org1,fminUSA,
org1,fminUkr,
org1,fminUkr,
org3,fminUK,
org3,fminUkr,
org3,fminBan,
org3,fminBan,
org1,fminUK,
org2,fminUkr,
org3,fminUSA,
org3,fminBan,
org1,fminBan,
org3,fminUkr,
org3,fminUK,
org1,fminUK,
org3,fminUkr,
org2,fminBan,
org2,fminBan,
org2,fminBan,
org3,fminUkr,
org2,fminBan,
org1,fminUK,
org3,fminUkr,
org3,fminUSA,
org3,fminBan,
org2,fminUK,
org1,fminBan,
org2,fminUSA,
org2,fminUK,
org2,fminUK,
org1,fminUK,
org1,fminUK,
org2,fminBan,
org3,fminUSA,
org3,fminBan,
org2,fminUkr,
org1,fminUK,
org1,fminBan,
org2,fminUSA,
org3,fminBan,
org2,fminBan,
org3,fminUSA,
org1,fminUkr,
org2,fminUkr,
org2,fminUSA,
org1,fminUK,
org2,fminUkr,
org2,fminUK,
org3,fminUSA,
org1,fminUK,
org1,fminBan,
org2,fminUK,
org3,fminUK,
org1,fminUkr,
org3,fminBan,
org1,fminUSA,
org1,fminUSA,
org2,fminBan,
org2,fminUK,
org2,fminBan,
org1,fminUkr,
org3,fminUSA,
org1,fminUK,
org1,fminBan,
org1,fminBan,
org3,fminBan,
org3,fminUkr,
org3,fminUK,
org2,fminUK,
org3,fminUK,
org2,fminUK,
org3,fminUSA,
org1,fminUK,
org2,fminUkr,
org3,fminUK,
org1,fminUK,
org2,fminUK,
org1,fminBan,
org3,fminUSA,
org2,fminUK,
org1,fminUkr,
org3,fminUkr,
org2,fminUkr,
org2,fminUkr,
org2,fminBan,
org1,fminUSA,
org2,fminUkr,
org2,fminBan,
org3,fminUK,
org1,fminBan,
org1,fminBan,
org1,fminUSA,
org1,fminUK,
org3,fminBan,
org3,fminUK,
org2,fminBan,
org3,fminBan,
org1,fminUSA,
org2,fminUSA,
org2,fminBan,
org3,fminUK,
org3,fminUK,
org1,fminUK,
org3,fminUK,
org1,fminBan,
org3,fminBan,
org2,fminBan,
org2,fminUSA,
org2,fminUK,
org2,fminUSA,
org3,fminUkr,
org1,fminBan,
org1,fminUSA,
org1,fminUK,
org1,fminUkr,
org1,fminUSA,
org1,fminBan,
org2,fminUkr,
org2,fminUkr,
org3,fminUSA,
org2,fminUkr,
org3,fminUK,
org2,fminUkr,
org2,fminUSA,
org3,fminUSA,
org2,fminBan,
org3,fminUK,
org3,fminUkr,
org1,fminUSA,
org1,fminUK,
org2,fminUSA,
org1,fminUSA,
org3,fminBan,
org1,fminUkr,
org1,fminUkr,
org3,fminUSA,
org1,fminUSA,
org1,fminUkr,
org2,fminUkr,
org1,fminBan,
org1,fminUSA,
org2,fminUK,
org2,fminUSA,
org2,fminBan,
org2,fminUK,
org1,fminUSA,
org3,fminUkr,
org1,fminUkr,
org2,fminUSA,
org1,fminUkr,
org1,fminUK,
org3,fminUkr,
org3,fminBan,
org2,fminUSA,
org3,fminUK,
org3,fminUSA,
org3,fminUkr,
org2,fminUK,
org3,fminUSA,
org3,fminUkr,
org2,fminUK,
org1,fminUK,
