locaID,latitude,longitude,division,country
divBar,,,Barishal,
divChi,,,Chittagong,
divDha,,,Dhaka,
divKhu,,,Khulna,
divMym,,,Mymensingh,
divRaj,,,Rajshahi,
divRan,,,Rangpur,
divSyl,,,Sylhet,
cntBan,,,,Bangladesh
cntUSA,,,,USA
cntUK,,,,UK
cntUkr,,,,Ukraine
cor1,41.965193,-87.876265,,
cor2,42.060285,-87.863225,,
cor3,41.80118,-87.832349,,
cor4,41.83212,-87.812948,,
cor5,41.782766,-87.805377,,
cor6,42.139996,-87.799227,,
cor7,42.0225,-87.763718,,
cor8,41.965485,-87.749928,,
cor9,41.864426,-87.748902,,
cor10,41.902525,-87.736138,,
cor11,41.670992,-87.732457,,
cor12,41.767763,-87.730133,,
cor13,41.837326,-87.72829,,
cor14,41.814712,-87.727484,,
cor15,41.858649,-87.724521,,
cor16,41.912739,-87.722673,,
cor17,41.834072,-87.718255,,
cor18,41.980272,-87.717115,,
cor19,41.980277,-87.717093,,
cor20,41.98028,-87.717046,,
cor21,41.7514,-87.713488,,
cor22,41.817572,-87.699566,,
cor23,41.849535,-87.695218,,
cor24,41.914445,-87.694901,,
cor25,41.853763,-87.693032,,
cor26,41.996,-87.692,,
cor27,41.892698,-87.685693,,
cor28,41.892265,-87.685569,,
cor29,41.831385,-87.678529,,
cor30,41.829173,-87.677909,,
cor31,41.80837,-87.67698,,
cor32,41.8232,-87.675182,,
cor33,41.824976,-87.670256,,
cor34,41.911945,-87.668633,,
cor35,41.903514,-87.665978,,
cor36,41.9036,-87.665812,,
cor37,41.861,-87.6632,,
cor38,41.923524,-87.657978,,
cor39,41.919745,-87.65742,,
cor40,41.991683,-87.656908,,
cor41,41.829361,-87.650137,,
cor42,41.935698,-87.641253,,
cor43,41.861205,-87.629891,,
cor44,41.868892,-87.629436,,
cor45,41.57862,-87.557406,,
cor46,41.72017,-87.551366,,
cor47,41.687165,-87.539315,,
